round_epochs,val_loss,val_acc,loss,acc,first_neuron_dim,first_neuron_act,first_dropout,optimizer,batch_size,epochs
6,1.6416280334472657,0.89815,1.614113885974884,0.89985,256,relu,0.2,adam,128,10
6,1.6416280334472657,0.89815,1.6142272720217705,0.89985,32,relu,0,adam,128,50
7,0.2911394295215607,0.89815,0.30781805850267413,0.89985,16,relu,0.8,adam,128,10
6,1.6416280334472657,0.89815,1.614227271604538,0.89985,256,relu,0.5,adam,128,10
19,0.24532609522342683,0.909125,0.24744579129219055,0.9098125,32,relu,0.2,adam,128,50
6,1.5782287048339845,0.89815,0.5726310232877732,0.89985,16,relu,0.8,adam,128,50
6,1.6416280334472657,0.89815,1.6139869546413421,0.89985,128,relu,0.2,adam,128,50
10,0.24762773332595825,0.907725,0.25517093757390974,0.90766875,16,relu,0.2,adam,128,10
6,1.6416280334472657,0.89815,1.6141633745670319,0.89985,256,relu,0.8,adam,128,50
6,0.2791251617908478,0.89815,0.2957254356741905,0.89985625,64,relu,0.8,adam,128,50
18,0.2437179612159729,0.909425,0.24573903131484987,0.9099625,64,relu,0.2,adam,128,50
6,0.26210552096366885,0.89815,0.2754633130609989,0.8998625,32,relu,0.5,adam,128,10
10,0.2468089825153351,0.908675,0.24735663524866103,0.9100375,128,relu,0.2,adam,128,10
6,1.6416280334472657,0.89815,1.6142272701740266,0.89985,256,relu,0.2,adam,128,50
6,1.6416280334472657,0.89815,1.6142272701501845,0.89985,512,relu,0,adam,128,10
6,1.6416280334472657,0.89815,1.6142272690057755,0.89985,128,relu,0,adam,128,10
6,1.6416280334472657,0.89815,1.613348551297188,0.89985,256,relu,0,adam,128,10
6,1.6416280334472657,0.89815,1.6142272725820541,0.89985,64,relu,0,adam,128,50
6,0.2564103101730347,0.89815,0.26703647137880326,0.8998625,64,relu,0.5,adam,128,10
6,0.2795140452384949,0.89815,0.29646179563999175,0.89985,16,relu,0.5,adam,128,50
6,1.6416280334472657,0.89815,1.614227268409729,0.89985,512,relu,0.2,adam,128,10
6,0.26757795510292054,0.89815,0.28002015995979307,0.89985625,64,relu,0.5,adam,128,50
8,0.24556164588928223,0.909975,0.24584293209314345,0.91063125,64,relu,0,adam,128,10
6,1.6416280334472657,0.89815,1.6142272706985474,0.89985,256,relu,0.5,adam,128,50
6,1.6416280334472657,0.89815,1.6142272687911987,0.89985,512,relu,0.5,adam,128,50
6,1.6416280334472657,0.89815,1.6142272678375245,0.89985,512,relu,0.2,adam,128,50
6,1.6416280334472657,0.89815,1.614227271413803,0.89985,512,relu,0,adam,128,50
6,0.2619741500854492,0.898175,0.2755714373588562,0.89985,16,relu,0.5,adam,128,10
10,0.24926087274551392,0.907375,0.25646065076589586,0.90635,128,relu,0.5,adam,128,10
6,0.26769553179740907,0.89815,0.2825311860322952,0.8998625,32,relu,0.5,adam,128,50
9,0.24777992615699768,0.9093,0.24263734156489372,0.9113875,128,relu,0,adam,128,50
32,0.24489679145812987,0.9091,0.2514257607996464,0.9077125,128,relu,0.5,adam,128,50
6,0.29146290459632873,0.89815,0.3055414922475815,0.89985625,32,relu,0.8,adam,128,50
10,0.2492495279788971,0.90775,0.2538917257606983,0.90798125,512,relu,0.5,adam,128,10
8,0.2549932427406311,0.8982,0.2629953373491764,0.899925,16,relu,0.2,adam,128,50
10,0.24517346100807189,0.90945,0.24590372955799103,0.91041875,16,relu,0,adam,128,10
6,1.6416280334472657,0.89815,1.6142272681713103,0.89985,512,relu,0.8,adam,128,50
6,1.4427331449508667,0.89815,0.5604072421789169,0.89986875,64,relu,0.8,adam,128,10
6,0.3023734456062317,0.89815,0.3113550552248955,0.8998625,32,relu,0.8,adam,128,10
6,1.2233849515914916,0.89815,0.5540909475564957,0.89985625,128,relu,0.8,adam,128,10
10,0.24982375793457032,0.906725,0.2546557921886444,0.906775,32,relu,0.2,adam,128,10
22,0.24100359625816345,0.910575,0.23985638214945793,0.91215,16,relu,0,adam,128,50
6,1.6416280334472657,0.89815,1.6140644180297852,0.89985,256,relu,0,adam,128,50
6,1.6416280334472657,0.89815,1.6142272706985474,0.89985,512,relu,0.8,adam,128,10
10,0.24779733262062073,0.907875,0.2505031719148159,0.90874375,64,relu,0.2,adam,128,10
10,0.24340042910575865,0.9101,0.24283897013664246,0.91151875,32,relu,0,adam,128,10
6,1.6416280334472657,0.89815,1.6142272701263427,0.89985,256,relu,0.8,adam,128,10
6,0.269335399723053,0.89815,0.2849109259843826,0.89985,128,relu,0.8,adam,128,50
